year,month,0,1,2,3,4,5,6,7,8,9
2001,1,0,10,4,0,0,0,1,0,4,12
2001,2,0,5,5,2,0,0,0,0,10,6
2001,3,0,0,0,0,0,0,1,0,22,8
2001,4,0,0,3,0,0,6,16,0,0,5
2001,5,17,0,0,0,8,2,4,0,0,0
2001,6,0,0,0,0,18,0,0,12,0,0
2001,7,0,0,0,0,0,0,0,31,0,0
2001,8,0,0,0,0,0,0,0,31,0,0
2001,9,8,0,0,0,6,1,0,15,0,0
2001,10,8,0,0,0,6,17,0,0,0,0
2001,11,0,3,9,7,0,2,7,0,0,2
2001,12,0,11,11,2,0,0,0,0,6,1
2002,1,0,15,1,0,0,0,0,0,2,13
2002,2,0,1,0,11,0,0,0,0,1,15
2002,3,0,11,3,5,0,0,1,0,4,7
2002,4,0,7,2,0,0,11,10,0,0,0
2002,5,19,0,0,0,2,9,1,0,0,0
2002,6,3,0,0,0,15,0,0,12,0,0
2002,7,0,0,0,0,2,0,0,29,0,0
2002,8,0,0,0,0,0,0,0,31,0,0
2002,9,14,0,0,0,3,0,0,13,0,0
2002,10,13,0,0,0,0,9,9,0,0,0
2002,11,0,2,0,1,0,13,10,0,3,1
2002,12,0,17,6,2,0,0,1,0,4,1
2003,1,0,2,4,8,0,0,0,0,10,7
2003,2,0,21,0,5,0,0,0,0,2,0
2003,3,0,20,3,1,0,0,2,0,0,5
2003,4,8,2,6,2,0,8,4,0,0,0
2003,5,5,0,0,0,13,13,0,0,0,0
2003,6,4,0,0,0,19,0,0,7,0,0
2003,7,0,0,0,0,0,0,0,31,0,0
2003,8,0,0,0,0,0,0,0,31,0,0
2003,9,0,0,0,0,19,0,0,11,0,0
2003,10,8,0,2,0,8,2,11,0,0,0
2003,11,3,0,0,0,0,14,8,0,0,5
2003,12,0,3,7,14,0,1,4,0,0,2
2004,1,0,5,7,3,0,0,0,0,8,8
2004,2,0,5,8,2,0,0,1,0,7,6
2004,3,0,11,6,1,0,4,6,0,0,3
2004,4,3,4,0,0,0,6,17,0,0,0
2004,5,17,0,0,0,0,4,10,0,0,0
2004,6,3,0,0,0,21,0,0,6,0,0
2004,7,0,0,0,0,3,0,0,28,0,0
2004,8,0,0,0,0,5,0,0,26,0,0
2004,9,0,0,0,0,21,0,0,9,0,0
2004,10,7,0,0,0,7,15,2,0,0,0
2004,11,3,2,5,7,0,5,7,0,0,1
2004,12,0,9,0,16,0,0,5,0,0,1
2005,1,0,2,9,8,0,0,0,0,0,12
2005,2,0,4,20,4,0,0,0,0,0,0
2005,3,0,7,10,2,0,0,3,0,8,1
2005,4,0,3,0,0,0,11,16,0,0,0
2005,5,4,0,0,0,15,4,8,0,0,0
2005,6,4,0,0,0,8,0,0,18,0,0
2005,7,0,0,0,0,0,0,0,31,0,0
2005,8,0,0,0,0,5,0,0,26,0,0
2005,9,0,0,0,0,24,0,0,6,0,0
2005,10,9,0,0,0,4,18,0,0,0,0
2005,11,0,3,3,0,0,11,11,0,2,0
2005,12,0,10,7,3,0,0,7,0,2,2
2006,1,0,18,6,4,0,0,1,0,0,2
2006,2,0,6,13,1,0,0,1,0,4,3
2006,3,0,3,5,2,0,0,0,0,15,6
2006,4,3,0,0,0,0,6,19,0,0,2
2006,5,10,0,0,0,7,14,0,0,0,0
2006,6,9,0,0,0,2,0,0,19,0,0
2006,7,0,0,0,0,0,0,0,31,0,0
2006,8,0,0,0,0,0,0,0,31,0,0
2006,9,2,0,0,0,8,0,0,20,0,0
2006,10,8,0,0,0,7,15,1,0,0,0
2006,11,0,0,4,8,0,4,2,0,0,12
2006,12,0,9,3,0,0,0,1,0,0,18
2007,1,0,0,7,10,0,0,0,0,2,12
2007,2,0,7,1,3,0,0,0,0,12,5
